,10,14,21,22,23,25,27,29,31,32,11,17,20,24,26,28,30,33,34
10,361,39,78,11,13,6,114,86,55,82,218,66,119,100,8,42,45,85,95
14,39,1743,281,239,76,104,218,174,325,155,27,469,515,293,177,205,361,199,186
21,78,281,2661,192,134,64,285,285,342,642,63,442,2033,484,130,166,240,619,296
22,11,239,192,1213,53,90,81,95,164,97,6,333,326,202,162,101,184,117,104
23,13,76,134,53,739,15,86,54,105,120,7,82,165,480,18,32,76,124,48
25,6,104,64,90,15,531,16,37,37,33,6,158,108,34,356,24,103,38,47
27,114,218,285,81,86,16,1622,362,176,422,113,238,460,416,50,80,162,482,349
29,86,174,285,95,54,37,362,1726,110,462,100,269,448,387,72,85,133,547,1330
31,55,325,342,164,105,37,176,110,1909,374,52,510,576,498,59,171,739,394,113
32,82,155,642,97,120,33,422,462,374,3598,60,485,1013,855,107,89,206,2884,447
11,218,27,63,6,7,6,113,100,52,60,310,68,85,80,5,30,42,64,103
17,66,469,442,333,82,158,238,269,510,485,68,2694,757,656,315,228,528,539,282
20,119,515,2033,326,165,108,460,448,576,1013,85,757,3814,854,243,254,446,1031,466
24,100,293,484,202,480,34,416,387,498,855,80,656,854,3043,101,135,407,920,377
26,8,177,130,162,18,356,50,72,59,107,5,315,243,101,1027,32,206,112,67
28,42,205,166,101,32,24,80,85,171,89,30,228,254,135,32,720,77,115,91
30,45,361,240,184,76,103,162,133,739,206,42,528,446,407,206,77,1973,269,146
33,85,199,619,117,124,38,482,547,394,2884,64,539,1031,920,112,115,269,3866,492
34,95,186,296,104,48,47,349,1330,113,447,103,282,466,377,67,91,146,492,1789
